"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2022","1,257.24","1,257.24","1,257.24","1,257.24","","-0.20%"
"06/23/2022","1,259.75","1,259.75","1,259.75","1,259.75","","1.61%"
"06/22/2022","1,239.78","1,239.78","1,239.78","1,239.78","","-0.32%"
"06/21/2022","1,243.77","1,243.77","1,243.77","1,243.77","","-1.00%"
"06/20/2022","1,256.29","1,256.29","1,256.29","1,256.29","","-3.08%"
"06/17/2022","1,296.15","1,296.15","1,296.15","1,296.15","","-1.43%"
"06/16/2022","1,314.91","1,314.91","1,314.91","1,314.91","","2.09%"
"06/15/2022","1,288.01","1,288.01","1,288.01","1,288.01","","-1.14%"
"06/14/2022","1,302.88","1,302.88","1,302.88","1,302.88","","-0.32%"
"06/13/2022","1,307.12","1,307.12","1,307.12","1,307.12","","-4.91%"
"06/10/2022","1,374.65","1,374.65","1,374.65","1,374.65","","-1.55%"
"06/09/2022","1,396.25","1,396.25","1,396.25","1,396.25","","0.12%"
"06/08/2022","1,394.55","1,394.55","1,394.55","1,394.55","","1.25%"
"06/07/2022","1,377.33","1,377.33","1,377.33","1,377.33","","0.04%"
"06/06/2022","1,376.77","1,376.77","1,376.77","1,376.77","","-0.06%"
"06/03/2022","1,377.64","1,377.64","1,377.64","1,377.64","","0.10%"
"06/02/2022","1,376.21","1,376.21","1,376.21","1,376.21","","-0.98%"
"06/01/2022","1,389.79","1,389.79","1,389.79","1,389.79","","0.54%"
"05/31/2022","1,382.28","1,382.28","1,382.28","1,382.28","","-0.39%"
"05/30/2022","1,387.75","1,387.75","1,387.75","1,387.75","","0.64%"
"05/27/2022","1,378.96","1,378.96","1,378.96","1,378.96","","1.64%"
"05/26/2022","1,356.68","1,356.68","1,356.68","1,356.68","","0.02%"
"05/25/2022","1,356.38","1,356.38","1,356.38","1,356.38","","2.94%"
"05/24/2022","1,317.66","1,317.66","1,317.66","1,317.66","","1.30%"
"05/23/2022","1,300.69","1,300.69","1,300.69","1,300.69","","-1.88%"
"05/20/2022","1,325.60","1,325.60","1,325.60","1,325.60","","-0.09%"
"05/19/2022","1,326.84","1,326.84","1,326.84","1,326.84","","0.34%"
"05/18/2022","1,322.30","1,322.30","1,322.30","1,322.30","","1.08%"
"05/17/2022","1,308.21","1,308.21","1,308.21","1,308.21","","5.08%"
"05/16/2022","1,244.94","1,244.94","1,244.94","1,244.94","","-0.98%"
"05/13/2022","1,257.23","1,257.23","1,257.23","1,257.23","","-4.40%"
"05/12/2022","1,315.08","1,315.08","1,315.08","1,315.08","","-5.14%"
"05/11/2022","1,386.31","1,386.31","1,386.31","1,386.31","","0.36%"
"05/10/2022","1,381.30","1,381.30","1,381.30","1,381.30","","1.85%"
"05/09/2022","1,356.19","1,356.19","1,356.19","1,356.19","","-4.24%"
"05/06/2022","1,416.30","1,416.30","1,416.30","1,416.30","","-2.20%"
"05/05/2022","1,448.15","1,448.15","1,448.15","1,448.15","","0.91%"
"05/04/2022","1,435.08","1,435.08","1,435.08","1,435.08","","-1.81%"
"04/29/2022","1,461.56","1,461.56","1,461.56","1,461.56","","1.42%"
"04/28/2022","1,441.07","1,441.07","1,441.07","1,441.07","","-0.24%"
"04/27/2022","1,444.54","1,444.54","1,444.54","1,444.54","","0.74%"
"04/26/2022","1,434.00","1,434.00","1,434.00","1,434.00","","2.29%"
